X,Y
13.3691,52.51578
13.36863,52.51575
13.36855,52.51574
13.36845,52.51574
13.36833,52.51573
13.36795,52.5157
13.36731,52.51566
13.36614,52.51559
13.3658,52.51556
13.36418,52.51546
13.36358,52.51542
13.36215,52.51533
13.36028,52.51521
13.35971,52.51518
13.35917,52.51514
13.35702,52.51501
13.35659,52.51498
13.35637,52.51496
13.35446,52.51484
13.3541,52.51482
13.35398,52.51481
13.3538,52.5148
13.35232,52.5147
13.35214,52.51469
13.35203,52.51469
13.35193,52.51469
13.35174,52.51469
13.35162,52.51472
13.35152,52.51474
13.35144,52.51477
13.35137,52.51479
13.3513,52.51481
13.35124,52.51483
13.35122,52.51483
13.35114,52.51483
13.35107,52.51483
13.35095,52.51482
13.3509528,52.5148215
13.35095,52.51483
13.35094,52.51484
13.35093,52.51485
13.35093,52.51486
13.35087,52.51492
13.35081,52.51496
13.35074,52.515
13.35063,52.51504
13.35054,52.51508
13.35046,52.51511
13.35037,52.51513
13.35027,52.51514
13.35023,52.51514
13.35019,52.51514
13.35015,52.51514
13.35012,52.51514
13.35008,52.51513
13.35004,52.51513
13.35,52.51512
13.34997,52.51512
13.34992,52.51511
13.34987,52.51511
13.34983,52.5151
13.34978,52.51509
13.34974,52.51508
13.3497,52.51507
13.34965,52.51506
13.34961,52.51505
13.34954,52.51502
13.34946,52.51499
13.3494,52.51496
13.34934,52.51492
13.34929,52.51488
13.34927,52.51486
13.34924,52.51483
13.34921,52.51481
13.3492,52.51479
13.34916,52.51474
13.34915,52.51473
13.34915,52.51472
13.34913,52.51468
13.34904,52.51467
13.349,52.51466
13.34895,52.51464
13.34892,52.51463
13.34888,52.51461
13.34864,52.51451
13.34857,52.51448
13.34855,52.51448
13.34853,52.51447
13.3485,52.51447
13.34844,52.51447
13.34726,52.51439
13.34468,52.51421
13.34204,52.51403
13.34168,52.51401
13.34059,52.51393
13.33795,52.51374
13.33763,52.51372
13.33723,52.5137
13.33698,52.51368
13.33647,52.51365
13.33614,52.51363
13.3358,52.51361
13.33567,52.5136
13.33542,52.51359
13.33533,52.51358
13.33514,52.51357
13.33494,52.51356
13.33467,52.51354
13.33318,52.51344
13.3326,52.5134
13.3324,52.51339
13.33195,52.51335
13.33179,52.51334
13.33163,52.51333
13.33129,52.5133
13.33022,52.51323
13.32997,52.51321
13.32992,52.5132
13.32971,52.51319
13.32799,52.51307
13.32705,52.51301
13.32676,52.51299
13.32656,52.51298
13.3258,52.51293
13.32396,52.51281
13.32348,52.51278
13.32342,52.51278
13.32333,52.51277
13.32329,52.51277
13.32323,52.51277
13.32316,52.51278
13.32311,52.51279
13.32304,52.51281
13.32298,52.51283
13.32285,52.51288
13.3228532,52.5128811
13.3228,52.51294
13.32276,52.51298
13.32271,52.51302
13.32261,52.51307
13.32253,52.5131
13.32247,52.51313
13.3224,52.51315
13.32233,52.51317
13.32226,52.51318
13.32224,52.51319
13.32216,52.5132
13.32211,52.5132
13.32202,52.51321
13.32183,52.51321
13.32175,52.51321
13.3217,52.5132
13.32151,52.51317
13.3214,52.51315
13.32136,52.51314
13.32132,52.51312
13.32125,52.51309
13.32113,52.51303
13.32098,52.51295
13.32088,52.51286
13.32087,52.51285
13.32065,52.51268
13.32061,52.51265
13.32051,52.51262
13.32046,52.5126
13.32036,52.5126
13.3202,52.51259
13.31985,52.51256
13.31926,52.51252
13.31808,52.51244
13.31779,52.51242
13.31741,52.5124
13.31716,52.51238
13.31703,52.51238
13.31592,52.5123
13.31513,52.51225
13.31486,52.51223
13.31471,52.51222
13.31438,52.5122
13.31414,52.51218
13.31335,52.51213
13.31278,52.51209
13.31252,52.51208
13.31246,52.51207
13.31199,52.51204
13.31175,52.51203
13.31166,52.51202
13.31135,52.512
13.311,52.51198
13.31064,52.51195
13.30958,52.51188
13.30932,52.51186
13.30904,52.51184
13.30772,52.51175
13.30749,52.51174
13.3073,52.51173
13.30604,52.51164
13.3056,52.51161
13.30519,52.51159
13.30481,52.51156
13.30426,52.51152
13.30411,52.51152
13.30293,52.51144
13.30178,52.51136
13.30164,52.51135
13.30147,52.51134
13.30123,52.51132
13.30081,52.51129
13.29992,52.51123
13.29922,52.51118
13.29734,52.51105
13.29719,52.51104
13.29692,52.51103
13.29624,52.51099
13.29589,52.51097
13.29552,52.51095
13.29494,52.51091
13.29452,52.51089
13.29388,52.51085
13.29276,52.51078
13.29244,52.51076
13.29218,52.51074
13.29178,52.51072
13.29161,52.5107
13.29141,52.51069
13.29116,52.51067
13.2895,52.51057
13.28943,52.51057
13.28921,52.51056
13.2889,52.51054
