lat,lng
51.21025,4.54303
51.21027,4.54293
51.21034,4.54264
51.21037,4.62028
51.21039,4.54241
51.21045,4.54215
51.21047,4.48275
51.21047,4.48315
51.21047,4.48318
51.21047,4.48345
51.21048,4.48363
51.21049,4.48229
51.2105,4.48402
51.21051,4.48202
51.21051,4.48422
51.21053,4.48181
51.21053,4.48441
51.21055,4.48157
51.21055,4.5417
51.21056,4.48492
51.21056,4.62084
51.21059,4.48521
51.2106,4.48533
51.21061,4.48106
51.21062,4.48097
51.21062,4.5414
51.21063,4.46659
51.21063,4.4668
51.21063,4.46698
51.21064,4.46632
51.21064,4.46733
51.21065,4.46603
51.21065,4.46752
51.21065,4.48585
51.21066,4.4677
51.21066,4.62114
51.21067,4.46581
51.21067,4.46783
51.21067,4.48059
51.21068,4.48624
51.2107,4.46542
51.2107,4.46823
51.2107,4.48641
51.21071,4.46832
51.21071,4.541
51.21073,4.46854
51.21074,4.4686
51.21075,4.48009
51.21076,4.46881
51.21076,4.48713
51.21077,4.5407
51.21081,4.46922
51.21082,4.54046
51.21084,4.46453
51.21085,4.47949
51.21085,4.54028
51.21086,4.4882
51.21087,4.46966
51.21089,4.46428
51.21089,4.48849
51.2109,4.54006
51.21092,4.47
51.21094,4.53982
51.21095,4.46403
51.21095,4.47883
51.21096,4.47029
51.21097,4.4704
51.21098,4.47865
51.211,4.53955
51.21102,4.46376
51.21104,4.47086
51.21104,4.47831
51.21104,4.62224
51.21105,4.47827
51.21105,4.53927
51.21105,4.62225
51.21106,4.53918
51.21108,4.46352
51.21109,4.49066
51.2111,4.53899
51.2111,4.62241
51.21111,4.4779
51.21114,4.49129
51.21115,4.4716
51.21115,4.5387
51.21116,4.47764
51.21116,4.49147
51.21117,4.46325
51.21119,4.53841
51.2112,4.49212
51.2112,4.6227
51.21121,4.47197
51.21122,4.4631
51.21122,4.53828
51.21124,4.47714
51.21124,4.49261
51.21125,4.47231
51.21125,4.53807
51.21127,4.47691
51.21128,4.5379
51.21129,4.47257
51.21129,4.47679
51.21129,4.49343
51.21131,4.47663
51.21132,4.49393
51.21133,4.47285
51.21133,4.47646
51.21133,4.53754
51.21135,4.49464
51.21135,4.49482
51.21135,4.53743
51.21136,4.47619
51.21136,4.4951
51.21136,4.62316
51.21137,4.47319
51.21137,4.49519
51.21137,4.4954
51.21139,4.46266
51.21139,4.47345
51.21139,4.49606
51.2114,4.4964
51.2114,4.53707
51.21141,4.47372
51.21141,4.47566
51.21143,4.47395
51.21143,4.47399
51.21143,4.49752
51.21144,4.47521
51.21144,4.53687
51.21145,4.47431
51.21145,4.47458
51.21145,4.49851
51.21146,4.4625
51.21146,4.47473
51.21146,4.47495
51.21146,4.49911
51.21146,4.53671
51.21147,4.49971
51.21148,4.62351
51.21148,4.62352
51.21149,4.5003
51.21151,4.50096
51.21152,4.46237
51.21153,4.50179
51.21155,4.50246
51.21156,4.50265
51.21157,4.50323
51.21157,4.50336
51.21157,4.53595
51.21159,4.50415
51.2116,4.50437
51.21161,4.50466
51.21162,4.50528
51.21162,4.53554
51.21163,4.50561
51.21165,4.53532
51.21166,4.46209
51.21166,4.50675
51.21166,4.50676
51.21166,4.62402
51.21167,4.50704
51.21169,4.50809
51.21169,4.62413
51.2117,4.50845
51.2117,4.50848
51.21171,4.53477
51.21173,4.46196
51.21174,4.50974
51.21175,4.5345
51.21175,4.62429
51.21176,4.51049
51.21177,4.51081
51.21179,4.51161
51.2118,4.51206
51.2118,4.53395
51.2118,4.62444
51.21181,4.46182
51.21182,4.5126
51.21182,4.51278
51.21182,4.51296
51.21185,4.53346
51.21186,4.51466
51.21186,4.62459
51.21187,4.51498
51.21188,4.51528
51.21188,4.5331
51.2119,4.51585
51.2119,4.53289
51.21191,4.51636
51.21191,4.53276
51.21191,4.62475
51.21192,4.51669
51.21192,4.51718
51.21192,4.53266
51.21193,4.51685
51.21193,4.51738
51.21194,4.5324
51.21195,4.51808
51.21196,4.46157
51.21196,4.51844
51.21196,4.53224
51.21197,4.51878
51.21197,4.53205
51.21197,4.6249
51.21199,4.51961
51.21199,4.51962
51.212,4.51999
51.21201,4.52024
51.21203,4.5312
51.21204,4.46145
51.21204,4.5212
51.21204,4.52134
51.21204,4.531
51.21205,4.52174
51.21206,4.53066
51.21208,4.53031
51.21209,4.52279
51.21209,4.53
51.2121,4.5235
51.2121,4.5298
